id,nome_normalizado,nome,numero,created_at,updated_at
1,ATIVO,Ativo,1,2024-11-12 20:03:28.172574,2024-11-12 20:03:28.172574
2,INATIVO,Inativo,2,2024-11-12 20:03:28.177005,2024-11-12 20:03:28.177005
3,CORRENTE,Corrente,3,2024-11-12 20:03:28.181326,2024-11-12 20:03:28.181326
