id,nome_normalizado,nome,sigla,habilitacao,coordenacao_id,grau_id,turno_id,created_at,updated_at
206,LETRASPORTUGUESEESPANHOL,Letras - Português e Espanhol,,Português e Espanhol,,2,3,2024-11-12 20:03:29.627975,2024-11-12 20:03:29.627980
207,LETRASPORTUGUESEESPANHOL,Letras - Português e Espanhol,,Português e Espanhol,,2,7,2024-11-12 20:03:29.631639,2024-11-12 20:03:29.631644
208,LETRASPORTUGUESEFRANCES,Letras - Português e Francês,,Português e Francês,,2,7,2024-11-12 20:03:29.635203,2024-11-12 20:03:29.635208
209,LETRASPORTUGUESEFRANCES,Letras - Português e Francês,,Português e Francês,,2,5,2024-11-12 20:03:29.638105,2024-11-12 20:03:29.638110
210,LETRASPORTUGUESEJAPONES,Letras - Português e Japonês,,Português e Japonês,,2,7,2024-11-12 20:03:29.641871,2024-11-12 20:03:29.641876
211,LETRASPORTUGUESEJAPONES,Letras - Português e Japonês,,Português e Japonês,,2,5,2024-11-12 20:03:29.644843,2024-11-12 20:03:29.644849
212,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos da tradução em Latim,,1,3,2024-11-12 20:03:29.647915,2024-11-12 20:03:29.647921
213,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos da tradução em Latim,,1,7,2024-11-12 20:03:29.651579,2024-11-12 20:03:29.651585
214,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos da tradução em Português e Alemão,,1,3,2024-11-12 20:03:29.654545,2024-11-12 20:03:29.654550
215,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos da tradução em Português e Alemão,,1,7,2024-11-12 20:03:29.658010,2024-11-12 20:03:29.658015
216,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos da tradução em Português e Grego,,1,3,2024-11-12 20:03:29.661154,2024-11-12 20:03:29.661159
217,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos da tradução em Português e Grego,,1,7,2024-11-12 20:03:29.664594,2024-11-12 20:03:29.664600
218,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Alemão,,1,3,2024-11-12 20:03:29.667562,2024-11-12 20:03:29.667567
219,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Alemão,,1,7,2024-11-12 20:03:29.670975,2024-11-12 20:03:29.670980
220,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Grego,,1,3,2024-11-12 20:03:29.674078,2024-11-12 20:03:29.674083
221,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Grego,,1,7,2024-11-12 20:03:29.677481,2024-11-12 20:03:29.677486
222,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Latim,,1,3,2024-11-12 20:03:29.680393,2024-11-12 20:03:29.680398
223,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Latim,,1,7,2024-11-12 20:03:29.684084,2024-11-12 20:03:29.684090
224,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Português e Alemão,,1,3,2024-11-12 20:03:29.687288,2024-11-12 20:03:29.687294
225,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Português e Alemão,,1,7,2024-11-12 20:03:29.692470,2024-11-12 20:03:29.692476
226,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Português e Grego,,1,3,2024-11-12 20:03:29.695687,2024-11-12 20:03:29.695693
227,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos linguísticos em Português e Grego,,1,7,2024-11-12 20:03:29.699220,2024-11-12 20:03:29.699226
228,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Alemão,,1,3,2024-11-12 20:03:29.702451,2024-11-12 20:03:29.702463
229,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Alemão,,1,7,2024-11-12 20:03:29.705899,2024-11-12 20:03:29.705904
230,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Grego,,1,3,2024-11-12 20:03:29.708967,2024-11-12 20:03:29.708972
231,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Grego,,1,7,2024-11-12 20:03:29.712763,2024-11-12 20:03:29.712768
232,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Latim,,1,3,2024-11-12 20:03:29.715697,2024-11-12 20:03:29.715702
233,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Latim,,1,7,2024-11-12 20:03:29.719175,2024-11-12 20:03:29.719181
234,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Português e Alemão,,1,3,2024-11-12 20:03:29.722579,2024-11-12 20:03:29.722585
235,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Português e Alemão,,1,7,2024-11-12 20:03:29.726158,2024-11-12 20:03:29.726164
236,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos Literários em Português e Grego,,1,3,2024-11-12 20:03:29.729173,2024-11-12 20:03:29.729178
237,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos Literários em Português e Grego,,1,7,2024-11-12 20:03:29.732882,2024-11-12 20:03:29.732888
238,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Português e Latim,,1,3,2024-11-12 20:03:29.735852,2024-11-12 20:03:29.735857
239,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Estudos literários em Português e Latim,,1,7,2024-11-12 20:03:29.739370,2024-11-12 20:03:29.739376
240,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Latim,,1,3,2024-11-12 20:03:29.742393,2024-11-12 20:03:29.742398
241,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIM,Letras - Português e/ou Alemão e/ou Grego e/ou Latim,,Latim,,1,7,2024-11-12 20:03:29.746156,2024-11-12 20:03:29.746162
242,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e Alemão,,1,3,2024-11-12 20:03:29.749320,2024-11-12 20:03:29.749325
243,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e Alemão,,1,7,2024-11-12 20:03:29.752712,2024-11-12 20:03:29.752718
244,LETRASPORTUGUESEOUALEMAOEOUGREGOEOULATIMEOUESPANHOL,Letras - Português e/ou Alemão e/ou Grego e/ou Latim e/ou Espanhol,,Português e Espanhol,,1,3,2024-11-12 20:03:29.755971,2024-11-12 20:03:29.755976
