id,curriculo_id,disciplina_id,natureza_disciplina_id,created_at,updated_at
1,3,1719,1,2024-11-12 20:04:11.300274,2024-11-12 20:04:11.300295
2,3,2178,1,2024-11-12 20:04:11.321326,2024-11-12 20:04:11.321335
3,3,2180,1,2024-11-12 20:04:11.325307,2024-11-12 20:04:11.325313
4,3,2182,1,2024-11-12 20:04:11.329567,2024-11-12 20:04:11.329574
5,3,2184,1,2024-11-12 20:04:11.333507,2024-11-12 20:04:11.333514
6,3,2185,1,2024-11-12 20:04:11.337603,2024-11-12 20:04:11.337610
7,3,2188,1,2024-11-12 20:04:11.341589,2024-11-12 20:04:11.341596
8,3,2189,1,2024-11-12 20:04:11.345853,2024-11-12 20:04:11.345859
9,3,2192,1,2024-11-12 20:04:11.349745,2024-11-12 20:04:11.349752
10,3,2193,1,2024-11-12 20:04:11.353730,2024-11-12 20:04:11.353737
11,3,2196,1,2024-11-12 20:04:11.357937,2024-11-12 20:04:11.357944
12,3,2198,1,2024-11-12 20:04:11.361784,2024-11-12 20:04:11.361790
13,3,2318,1,2024-11-12 20:04:11.365775,2024-11-12 20:04:11.365781
14,3,2320,1,2024-11-12 20:04:11.369583,2024-11-12 20:04:11.369589
15,3,2322,1,2024-11-12 20:04:11.373452,2024-11-12 20:04:11.373458
16,3,2324,1,2024-11-12 20:04:11.377779,2024-11-12 20:04:11.377785
17,3,2325,1,2024-11-12 20:04:11.381645,2024-11-12 20:04:11.381651
18,3,2353,1,2024-11-12 20:04:11.385805,2024-11-12 20:04:11.385811
19,3,2355,1,2024-11-12 20:04:11.389652,2024-11-12 20:04:11.389658
20,3,2356,1,2024-11-12 20:04:11.393378,2024-11-12 20:04:11.393385
21,3,2357,1,2024-11-12 20:04:11.397464,2024-11-12 20:04:11.397470
22,3,2360,1,2024-11-12 20:04:11.401173,2024-11-12 20:04:11.401179
23,3,2362,1,2024-11-12 20:04:11.405082,2024-11-12 20:04:11.405088
24,3,2365,1,2024-11-12 20:04:11.408793,2024-11-12 20:04:11.408799
25,3,2367,1,2024-11-12 20:04:11.412469,2024-11-12 20:04:11.412475
26,3,2379,1,2024-11-12 20:04:11.416344,2024-11-12 20:04:11.416350
27,3,2503,1,2024-11-12 20:04:11.419939,2024-11-12 20:04:11.419945
28,3,2521,1,2024-11-12 20:04:11.423655,2024-11-12 20:04:11.423661
29,3,2523,1,2024-11-12 20:04:11.427237,2024-11-12 20:04:11.427243
30,3,2600,1,2024-11-12 20:04:11.430914,2024-11-12 20:04:11.430920
31,3,2601,1,2024-11-12 20:04:11.434516,2024-11-12 20:04:11.434522
32,3,10112,1,2024-11-12 20:04:11.438049,2024-11-12 20:04:11.438055
33,3,2199,2,2024-11-12 20:04:11.441808,2024-11-12 20:04:11.441815
34,3,2214,2,2024-11-12 20:04:11.445345,2024-11-12 20:04:11.445351
35,3,2216,2,2024-11-12 20:04:11.449273,2024-11-12 20:04:11.449279
36,3,2217,2,2024-11-12 20:04:11.453149,2024-11-12 20:04:11.453155
37,3,2219,2,2024-11-12 20:04:11.456859,2024-11-12 20:04:11.456866
38,3,2220,2,2024-11-12 20:04:11.462087,2024-11-12 20:04:11.462094
39,3,2222,2,2024-11-12 20:04:11.466146,2024-11-12 20:04:11.466152
40,3,2223,2,2024-11-12 20:04:11.470307,2024-11-12 20:04:11.470313
41,3,2224,2,2024-11-12 20:04:11.474090,2024-11-12 20:04:11.474096
42,3,2225,2,2024-11-12 20:04:11.478843,2024-11-12 20:04:11.478854
43,3,2227,2,2024-11-12 20:04:11.483804,2024-11-12 20:04:11.483815
44,3,2228,2,2024-11-12 20:04:11.489391,2024-11-12 20:04:11.489404
45,3,2229,2,2024-11-12 20:04:11.496045,2024-11-12 20:04:11.496055
46,3,2231,2,2024-11-12 20:04:11.501101,2024-11-12 20:04:11.501112
47,3,2327,2,2024-11-12 20:04:11.507106,2024-11-12 20:04:11.507117
48,3,13042,2,2024-11-12 20:04:11.512306,2024-11-12 20:04:11.512316
49,3,2329,2,2024-11-12 20:04:11.517620,2024-11-12 20:04:11.517632
50,3,2331,2,2024-11-12 20:04:11.523144,2024-11-12 20:04:11.523156
51,3,2332,2,2024-11-12 20:04:11.529261,2024-11-12 20:04:11.529276
52,3,2334,2,2024-11-12 20:04:11.537232,2024-11-12 20:04:11.537246
53,3,13047,2,2024-11-12 20:04:11.543715,2024-11-12 20:04:11.543729
