id,nome_normalizado,nome,numero,created_at,updated_at
1,BACHARELADO,Bacharelado,1,2024-11-12 20:03:28.191615,2024-11-12 20:03:28.191615
2,LICENCIATURA,Licenciatura,2,2024-11-12 20:03:28.196087,2024-11-12 20:03:28.196087
3,LICENCIATURAEBACHARELADO,Licenciatura e Bacharelado,3,2024-11-12 20:03:28.200206,2024-11-12 20:03:28.200206
4,POSMEDIO,Pós-Médio,4,2024-11-12 20:03:28.204268,2024-11-12 20:03:28.204268
5,TECNICOINTEGRADOAOENSINOMEDIO,Técnico Integrado ao Ensino Médio,5,2024-11-12 20:03:28.208197,2024-11-12 20:03:28.208197
6,TECNOLOGICO,Tecnológico,6,2024-11-12 20:03:28.212329,2024-11-12 20:03:28.212329
