id,nome,nome_normalizado,sigla,numero,created_at,updated_at
113,Coordenação do Curso de Tecnologia em Gestão da Qualidade,COORDENACAODOCURSODETECNOLOGIAEMGESTAODAQUALIDADE,,2928,2024-11-12 20:03:28.787187,2024-11-12 20:03:28.787193
114,Curso de Zootecnia,CURSODEZOOTECNIA,,292,2024-11-12 20:03:28.788875,2024-11-12 20:03:28.788881
115,Coordenação do Curso de Tecnologia em Comunicação Institucional,COORDENACAODOCURSODETECNOLOGIAEMCOMUNICACAOINSTITUCIONAL,,2960,2024-11-12 20:03:28.790314,2024-11-12 20:03:28.790320
116,Coordenação do Programa de Pós-Graduação em Bioinformática,COORDENACAODOPROGRAMADEPOSGRADUACAOEMBIOINFORMATICA,,2979,2024-11-12 20:03:28.792194,2024-11-12 20:03:28.792200
117,Coordenação do Curso de Biomedicina,COORDENACAODOCURSODEBIOMEDICINA,,3016,2024-11-12 20:03:28.793623,2024-11-12 20:03:28.793628
118,Departamento de Engenharia de Bioprocessos e Biotecnologia,DEPARTAMENTODEENGENHARIADEBIOPROCESSOSEBIOTECNOLOGIA,,3018,2024-11-12 20:03:28.795104,2024-11-12 20:03:28.795110
119,Departamento de Terapia Ocupacional,DEPARTAMENTODETERAPIAOCUPACIONAL,,3020,2024-11-12 20:03:28.796405,2024-11-12 20:03:28.796410
120,Coordenação de Políticas de Acompanhamento Acadêmico,COORDENACAODEPOLITICASDEACOMPANHAMENTOACADEMICO,,3024,2024-11-12 20:03:28.797961,2024-11-12 20:03:28.797967
121,Coordenação do Curso de Ciências Biológicas - Palotina,COORDENACAODOCURSODECIENCIASBIOLOGICASPALOTINA,,3038,2024-11-12 20:03:28.799316,2024-11-12 20:03:28.799321
122,Departamento de Engenharia Ambiental,DEPARTAMENTODEENGENHARIAAMBIENTAL,,3040,2024-11-12 20:03:28.800784,2024-11-12 20:03:28.800789
123,Curso Superior de Tecnologia em Gestão Pública,CURSOSUPERIORDETECNOLOGIAEMGESTAOPUBLICA,,3054,2024-11-12 20:03:28.802146,2024-11-12 20:03:28.802152
124,Departamento de Engenharia de Produção,DEPARTAMENTODEENGENHARIADEPRODUCAO,,3061,2024-11-12 20:03:28.803649,2024-11-12 20:03:28.803655
125,Coordenação do Curso de Expressão Gráfica,COORDENACAODOCURSODEEXPRESSAOGRAFICA,,3097,2024-11-12 20:03:28.804993,2024-11-12 20:03:28.804998
126,Departamento de Análises Clínicas,DEPARTAMENTODEANALISESCLINICAS,,3363,2024-11-12 20:03:28.806610,2024-11-12 20:03:28.806615
127,Coordenação do Curso de Fisioterapia,COORDENACAODOCURSODEFISIOTERAPIA,,3375,2024-11-12 20:03:28.808350,2024-11-12 20:03:28.808357
128,Campus Avançado de Jandaia do Sul,CAMPUSAVANCADODEJANDAIADOSUL,,3393,2024-11-12 20:03:28.810138,2024-11-12 20:03:28.810144
129,Coordenação do Curso de Licenciatura em Ciências Exatas,COORDENACAODOCURSODELICENCIATURAEMCIENCIASEXATAS,,3403,2024-11-12 20:03:28.811646,2024-11-12 20:03:28.811652
130,Curso de Engenharia Agrícola - Jandaia,CURSODEENGENHARIAAGRICOLAJANDAIA,,3408,2024-11-12 20:03:28.813393,2024-11-12 20:03:28.813399
131,Coordenação do Curso de Engenharia de Energias Renováveis,COORDENACAODOCURSODEENGENHARIADEENERGIASRENOVAVEIS,,3453,2024-11-12 20:03:28.814810,2024-11-12 20:03:28.814815
132,Coordenação do Curso de Letras Libras - Língua Brasileira de Sinais,COORDENACAODOCURSODELETRASLIBRASLINGUABRASILEIRADESINAIS,,3469,2024-11-12 20:03:28.816474,2024-11-12 20:03:28.816479
133,Departamento de Biociências,DEPARTAMENTODEBIOCIENCIAS,,3476,2024-11-12 20:03:28.817868,2024-11-12 20:03:28.817874
134,Departamento de Biodiversidade,DEPARTAMENTODEBIODIVERSIDADE,,3477,2024-11-12 20:03:28.819145,2024-11-12 20:03:28.819151
135,Departamento de Ciências Agronômicas,DEPARTAMENTODECIENCIASAGRONOMICAS,,3478,2024-11-12 20:03:28.820767,2024-11-12 20:03:28.820773
136,Departamento de Ciências Veterinárias,DEPARTAMENTODECIENCIASVETERINARIAS,,3479,2024-11-12 20:03:28.822089,2024-11-12 20:03:28.822095
137,Departamento de Engenharias e Exatas,DEPARTAMENTODEENGENHARIASEEXATAS,,3480,2024-11-12 20:03:28.823872,2024-11-12 20:03:28.823879
138,Departamento de Sociais e Humanas,DEPARTAMENTODESOCIAISEHUMANAS,,3481,2024-11-12 20:03:28.825458,2024-11-12 20:03:28.825464
