id,nome_normalizado,nome,numero,created_at,updated_at
1,OBRIGATORIA,Obrigatória,1,2024-11-12 20:03:28.153267,2024-11-12 20:03:28.153267
2,OPTATIVA,Optativa,2,2024-11-12 20:03:28.158293,2024-11-12 20:03:28.158293
3,ELETIVA,Eletiva,3,2024-11-12 20:03:28.162503,2024-11-12 20:03:28.162503
