id,nome_normalizado,nome,numero,created_at,updated_at
1,NSA,nsa,0,2024-11-12 20:03:28.531323,2024-11-12 20:03:28.531323
2,VESPERTINO,Vespertino,1,2024-11-12 20:03:28.536098,2024-11-12 20:03:28.536098
3,MATUTINO,Matutino,2,2024-11-12 20:03:28.540240,2024-11-12 20:03:28.540240
4,VESPERTINOMATUTINO,"Vespertino,Matutino",3,2024-11-12 20:03:28.544749,2024-11-12 20:03:28.544749
5,NOTURNO,Noturno,4,2024-11-12 20:03:28.549474,2024-11-12 20:03:28.549474
6,VESPERTINONOTURNO,"Vespertino,Noturno",5,2024-11-12 20:03:28.553950,2024-11-12 20:03:28.553950
7,MATUTINONOTURNO,"Matutino,Noturno",6,2024-11-12 20:03:28.558584,2024-11-12 20:03:28.558584
8,INTEGRAL,Integral,7,2024-11-12 20:03:28.562867,2024-11-12 20:03:28.562867
