id,nome_normalizado,nome,numero,created_at,updated_at
1,APROVEITAMENTO,Aproveitamento,1,2024-11-12 20:03:28.412481,2024-11-12 20:03:28.412481
2,EQUIVALENCIA,Equivalência,2,2024-11-12 20:03:28.417418,2024-11-12 20:03:28.417418
3,MOBILIDADE,Mobilidade,3,2024-11-12 20:03:28.421978,2024-11-12 20:03:28.421978
4,TURMA,Turma,4,2024-11-12 20:03:28.426686,2024-11-12 20:03:28.426686
5,SEM_TURMA,Sem_Turma,5,2024-11-12 20:03:28.430827,2024-11-12 20:03:28.430827
6,TRANCAMENTO,Trancamento,6,2024-11-12 20:03:28.434842,2024-11-12 20:03:28.434842
7,ADIANTAMENTO,Adiantamento,7,2024-11-12 20:03:28.439001,2024-11-12 20:03:28.439001
8,NAO_CURSADO,Nao_Cursado,8,2024-11-12 20:03:28.443432,2024-11-12 20:03:28.443432
